,Position,Description
0,1. Shuttle,"Sometimes, even temperamental partners need to cool their ardor and try positions for more vanilla sex, and that is a simple but very voluptuous option. The man lies on his back, his legs are slightly bent in knees and pulled on sides. The woman is on top of the male partner with the face to him so that one leg is between her legs. One hand of the lady is straight and stands on the floor and support is on it, the second one is bent in elbow, and is on the male partner’s chest. The man puts his hands on the female partner’s buttocks and he is able to control the rhythm."
1,2. Mermaid,"It’s difficult to meet someone who can satisfy you in life and in bed, if you have managed to find, appreciate what you have, give yourself to him completely, love without asking for compensation and satisfy in all aspects. The man lies on his back with legs slightly bent at the knees and throws them wide apart. The woman lies on top of her partner, the legs are pressed and slightly bent at the knees, with her hands she holds her calves and lifts a bit her body to the legs, so she is sitting on the floor. The man puts his hand on his female partner’s breast and caresses it during sex."
2,3. Cat,"Even the simplest position can bring unforgettable experience to the partners, or vice versa, to be another tick in the list of the studied variants, but it is not important how, but with whom, do not forget about it. The woman lies on her back, on her elbows she lifts the upper part of her body, her legs are straight, but driven apart. The man lies down on her female partner face to face, he keeps his upper part of the body on the outstretched arms, legs are together, and located between the female partner’s legs. He seems to be hanging over his lady and can kiss her neck, her lips in the process."
3,4. Clapper,"We need to have sex not so much to satisfy our desires, but to get pleasure, to come to ecstasy, then your sex life will not be routine and boring. The woman is down on her knees and fully leans forward, stretching her arms over her head, making them in shape of a halo. The man is located to the female partner in such a manner, that his buttocks are lying on the woman’s feet, legs are driven wide apart and the woman is between his legs. The man’s hands are laid back, they are put on his hands and the main support is made on them."
4,5. Aquarius,"Naked bodies and thoughts are knotted together, you are in the same position, but each partner plays his own personal role. The woman lie down opening her legs, and the man stands between them on his knees to lift the female partner by her waist that only her head and forearm can be her support. The woman throws her legs to the man’s thighs, bending them at the knees, she supports her buttocks with her arms, helping the male partner to maintain the rhythm of sex. In this position both partners have their hands busy, but they have their eyes to watch each other and sometimes that is more than enough."
5,6. Straddle,"The woman on top is a perfect for men who want to relax and have fun, so you should obviously note this position. The man lies on his back and slightly bends one leg at the knee. The female partner sits on the penis so that her legs are on one side next to the bent leg of her male partner, which female partner takes by hand at the knee and the other hand puts on the man’s chest. The male partner puts his arm on the woman’s neck and takes her knee by the other one. The woman moves in this position."
6,7. Candle,"Having desire to become one with the partner it is not obligatory to be searching for any appropriate place, it will be enough to have desire and a little bit of imagination. This position is quite simple. The man stands still and his woman stands next to him with her back. If need, the woman can stand on her toe tips to make penetrations deeper. She can place her head on his shoulder to caress his neck. The male partner should get profit of the possibility to touch his mistress, caress her soft breast and firm buttocks, as this is the most appropriate position to get maximum pleasure."
7,8. Boat,"Touching every centimeter of the bodies, you feel deeper and feel more, you work as a single organism, which is driven by desire. The woman lies comfortably on her belly, opens her legs and lifts sexually the upper part of her body, leaning confidently on her elbows. The man is on top, placing his legs between the female partner’s legs leaning on his knees and hanging over her, leaning on his hands that are on sides from her shoulders. The couple is free to be kissing the man has access to his mistress’ shoulders and of course, the groans are mixed with hot breath."
8,9. Disco,"One can not even imagine a better dance than dance of love, learn more movements, positions, learn to recognize desires of your partner even without words and you will be irresistible. The woman is standing, feet are at shoulder width and knees are slightly bent. The male partner is located to her so that his forced together and slightly bent knees were between hers. The partners put their hands on each other’s thighs, the female breast caresses the male torso, and their eyes are looking into each other’s eyes. Alternatively, one of the partners can stand at the wall to make an additional support."
9,10. Circle,"Here’s a piquant position simplifying greatly oral sex, as well as making it much more sophisticated and varied. The man and woman lie sideways for their faces to be on the level of intimate areas of each other and their legs to be slightly bent at the knees. The man takes his mistress’ leg with one hand and lifts it up, getting access to the crotch of his female partner, caressing her buttocks with his second hand. The woman has the ability to stimulate her male partner’s penis with her hands, to caress his testicles, buttocks and thighs it all depends on her experience and imagination. This is a definitely good position."
